Month,Starting Balance,Repayment,Interest Paid,Principal Paid,New Balance,term,interest_rate,car_type
9,38853.24,796.01,93.89,702.12,38151.12,60,0.029,VW Golf R
10,38151.12,796.01,92.19,703.82,37447.3,60,0.029,VW Golf R
11,37447.3,796.01,90.49,705.52,36741.78,60,0.029,VW Golf R
12,36741.78,796.01,88.79,707.22,36034.56,60,0.029,VW Golf R
13,36034.56,796.01,87.08,708.93,35325.63,60,0.029,VW Golf R
14,35325.63,796.01,85.37,710.64,34614.99,60,0.029,VW Golf R
15,34614.99,796.01,83.65,712.36,33902.63,60,0.029,VW Golf R
16,33902.63,796.01,81.93,714.08,33188.55,60,0.029,VW Golf R
17,33188.55,796.01,80.2,715.81,32472.74,60,0.029,VW Golf R
18,32472.74,796.01,78.47,717.54,31755.2,60,0.029,VW Golf R
19,31755.2,796.01,76.74,719.27,31035.93,60,0.029,VW Golf R
20,31035.93,796.01,75.0,721.01,30314.92,60,0.029,VW Golf R
21,30314.92,796.01,73.26,722.75,29592.17,60,0.029,VW Golf R
22,29592.17,796.01,71.51,724.5,28867.67,60,0.029,VW Golf R
23,28867.67,796.01,69.76,726.25,28141.42,60,0.029,VW Golf R
24,28141.42,796.01,68.0,728.01,27413.41,60,0.029,VW Golf R
25,27413.41,796.01,66.24,729.77,26683.64,60,0.029,VW Golf R
26,26683.64,796.01,64.48,731.53,25952.11,60,0.029,VW Golf R
27,25952.11,796.01,62.71,733.3,25218.81,60,0.029,VW Golf R
28,25218.81,796.01,60.94,735.07,24483.74,60,0.029,VW Golf R
29,24483.74,796.01,59.16,736.85,23746.89,60,0.029,VW Golf R
30,23746.89,796.01,57.38,738.63,23008.26,60,0.029,VW Golf R
31,23008.26,796.01,55.6,740.41,22267.85,60,0.029,VW Golf R
32,22267.85,796.01,53.81,742.2,21525.65,60,0.029,VW Golf R
33,21525.65,796.01,52.02,743.99,20781.66,60,0.029,VW Golf R
34,20781.66,796.01,50.22,745.79,20035.87,60,0.029,VW Golf R
35,20035.87,796.01,48.42,747.59,19288.28,60,0.029,VW Golf R
36,19288.28,796.01,46.61,749.4,18538.88,60,0.029,VW Golf R
37,18538.88,796.01,44.8,751.21,17787.67,60,0.029,VW Golf R
38,17787.67,796.01,42.98,753.03,17034.64,60,0.029,VW Golf R
39,17034.64,796.01,41.16,754.85,16279.79,60,0.029,VW Golf R
40,16279.79,796.01,39.34,756.67,15523.12,60,0.029,VW Golf R
41,15523.12,796.01,37.51,758.5,14764.62,60,0.029,VW Golf R
42,14764.62,796.01,35.68,760.33,14004.29,60,0.029,VW Golf R
43,14004.29,796.01,33.84,762.17,13242.12,60,0.029,VW Golf R
44,13242.12,796.01,32.0,764.01,12478.11,60,0.029,VW Golf R
45,12478.11,796.01,30.15,765.86,11712.25,60,0.029,VW Golf R
46,11712.25,796.01,28.3,767.71,10944.54,60,0.029,VW Golf R
47,10944.54,796.01,26.44,769.57,10174.97,60,0.029,VW Golf R
48,10174.97,796.01,24.58,771.43,9403.54,60,0.029,VW Golf R
49,9403.54,796.01,22.72,773.29,8630.25,60,0.029,VW Golf R
50,8630.25,796.01,20.85,775.16,7855.09,60,0.029,VW Golf R
51,7855.09,796.01,18.98,777.03,7078.06,60,0.029,VW Golf R
52,7078.06,796.01,17.1,778.91,6299.15,60,0.029,VW Golf R
53,6299.15,796.01,15.22,780.79,5518.36,60,0.029,VW Golf R
54,5518.36,796.01,13.33,782.68,4735.68,60,0.029,VW Golf R
55,4735.68,796.01,11.44,784.57,3951.11,60,0.029,VW Golf R
56,3951.11,796.01,9.54,786.47,3164.64,60,0.029,VW Golf R
57,3164.64,796.01,7.64,788.37,2376.27,60,0.029,VW Golf R
58,2376.27,796.01,5.74,790.27,1586.0,60,0.029,VW Golf R
59,1586.0,796.01,3.83,792.18,793.82,60,0.029,VW Golf R
60,793.82,796.01,1.91,794.1,-0.28,60,0.029,VW Golf R
